ID,Barcode,Item_Name,MRP,Rate_A,Rate_B,WS_Price,Rate_C,Last_Used,Available_Stock,UOM,HSN,Tax_Percentage,Discount_Percentage,Low_Stock_Quantity,Expiry_Date,Description,Total_Sold,Brand_Name,Supplier_Name,Full_Bin_Qty,Managed_Bin
4349,4349,6525 38 Bra,245,225,220,159.25,200,14-06-2022,2,Pcs,6212,0,0,2,01-01-2100,6525- Bra - Body Care-Jabalpur,4,,,0,FALSE
4350,4350,6525 40Bra,245,225,220,159.25,200,19-06-2022,1,Pcs,6212,0,0,2,01-01-2100,6525- Bra - Body Care-Jabalpur,5,,,0,FALSE
4351,4351,6594 Body Care T-Shirt Bra C-Cup 38,295,270,270,191.75,270,12-09-2021,3,Pcs,6212,0,0,2,01-01-2100,R.K.Traders,0,,,0,FALSE
4352,4352,6594 Body Care T-Shirt Bra C-Cup 38,275,250,250,178.75,250,09-12-2021,-1,Pcs,6212,0,0,2,01-01-2100,R.K.Traders,0,,,0,FALSE
4353,4353,6591 Body Care Krutika D-Cup Bra 42,345,310,310,201.5,310,20-09-2022,4,Pcs,6212,0,0,2,01-01-2100,R.K.Traders,4,,,0,FALSE
4354,4354,6591 Body Care Krutika D-Cup Bra 44,345,310,310,201.5,310,22-01-2023,3,Pcs,6212,0,0,2,01-01-2100,R.K.Traders,2,,,0,FALSE
4355,4355,6591 Body Care Krutika E-Cup Bra 42,335,310,310,208,310,15-11-2022,0,Pcs,6212,0,0,2,01-01-2100,R.K.Traders,3,,,0,FALSE
4356,4356,Gown Sai Feeding A95,390,300,275,195,250,05-12-2022,8,Pcs,,0,0,0,01-01-2100,Sai Garments,5,,,0,FALSE
4357,4357,Gown Sai Open A95,390,320,275,195,250,10-05-2022,11,Pcs,,0,0,0,01-01-2100,Sai Garments,1,,,0,FALSE
4358,4358,Gown Sai 60L A95,390,300,275,195,250,13-11-2021,11,Pcs,,0,0,0,01-01-2100,Sai Garments,0,,,0,FALSE
4359,4359,Fancy Net Pad Set 34,499,450,0,0,0,19-03-2022,2,Pcs,,0,0,1,01-01-2100,,1,,,0,FALSE
4360,4360,Fancy Net Pad Set 36,499,450,0,0,0,06-03-2022,1,Pcs,,0,0,1,01-01-2100,,2,,,0,FALSE
4361,4361,Baylee LP Bra PR 40,215,190,180,107.5,180,16-12-2021,12,Pcs,6212,0,0,0,01-01-2100,Bakliwal Hosiery,0,,,0,FALSE
4362,4362,A112 Enamor Full Coverage Bra 38C Grape Wine,949,850,850,669.425,850,16-01-2023,0,Pcs.,6212,0,0,0,01-01-2100,Queenss Enamor,2,,,1,TRUE
4363,4363,A112 Enamor Full Coverage Bra 34C Grape Wine,849,760,750,598.88,700,12-09-2021,1,Pcs.,6212,0,0,0,01-01-2100,Queenss Enamor,0,,,0,FALSE
4364,4364,Bralatte Padded 814,380,270,250,125,250,12-02-2022,-1,Pcs,6212,0,0,0,01-01-2100,Arihant,0,,,0,FALSE
4365,4365,Bralatte Demmy Padded 3022,380,270,250,140,250,27-07-2022,0,Pcs,6212,0,0,0,01-01-2100,Arihant,1,,,0,FALSE
4366,4366,Bralatte Blouse Padded 9896,400,250,250,145,250,15-07-2022,1,Pcs,6212,0,0,0,01-01-2100,Arihant,4,,,0,FALSE
4367,4367,Bralatte Sports V Neck 9893,380,260,250,140,250,01-06-2022,0,Pcs,6212,0,0,0,01-01-2100,Arihant,2,,,0,FALSE
4368,4368,Bralatte Cross Belt 9892,380,270,250,135,250,16-09-2022,1,Pcs,6212,0,0,0,01-01-2100,Arihant,5,,,0,FALSE
4369,4369,Lace Top 518,400,280,250,145,250,30-07-2022,-1,Pcs,,0,0,0,01-01-2100,Arihant,1,,,0,FALSE
4370,4370,Lovely Plain Sando Slip F 072,170,120,100,65,100,12-10-2022,1,Pcs,,0,0,0,01-01-2100,Arihant,3,,,0,FALSE
4371,4371,Lovely Printed Sando Slip F 072,170,120,100,65,100,10-09-2022,0,Pcs,,0,0,0,01-01-2100,Arihant,1,,,0,FALSE
4372,4372,Fancy Net Panty 468,280,200,180,85,180,03-10-2022,1,Pcs,6108,0,0,0,01-01-2100,Arihant,5,,,0,FALSE
4373,4373,Fancy Net Panty 715,325,230,180,100,180,27-12-2022,9,Pcs,6108,0,0,0,01-01-2100,Arihant,6,,,0,FALSE
4374,4374,A039 Enamor Padded Bra 38B Pearl 749,749,670,650,528.34,600,12-09-2021,1,Pcs.,6212,0,0,0,01-01-2100,Queenss Enamor,0,,,0,FALSE
4375,4375,Night Suit Satin L 2978,520,470,0,338,0,21-10-2022,-1,Pcs,,0,0,0,01-01-2100,Arihant,2,,,0,FALSE
4376,4376,Night Suit Satin XL 2978,590,530,0,383.5,0,16-09-2021,1,Pcs,,0,0,0,01-01-2100,Arihant,0,,,0,FALSE
4377,4377,Strapless Padded Bra F BCup 218,580,450,400,245,400,27-12-2022,10,Pcs,6212,0,0,0,01-01-2100,Arihant,5,,,0,FALSE
4378,4378,Strapless Padded Bra F DCup 218,580,450,400,245,400,19-08-2022,5,Pcs,6212,0,0,0,01-01-2100,Arihant,2,,,0,FALSE
4379,4379,Net Push Up 185 32B,550,350,350,180,350,03-03-2022,0,Pcs,,0,0,0,01-01-2100,Arihant,1,,,0,FALSE
4380,4380,Net Push Up 185 34B,550,350,350,180,350,07-05-2022,0,Pcs,,0,0,0,01-01-2100,Arihant,2,,,0,FALSE
4381,4381,Net Push Up 185 36B,550,350,350,180,350,11-03-2022,0,Pcs,,0,0,0,01-01-2100,Arihant,1,,,0,FALSE
4382,4382,Net Full Cup Wired Bra 2288 38,580,350,350,180,350,07-11-2022,4,Pcs,6212,0,0,0,01-01-2100,Arihant,1,,,0,FALSE
4383,4383,Net Full Cup Wired Bra 2288 40,580,350,350,180,350,03-05-2022,2,Pcs,6212,0,0,0,01-01-2100,Arihant,3,,,0,FALSE
4384,4384,Fancy Nighty 2 Pc C60,720,550,550,360,550,16-07-2022,1,Pcs,,0,0,0,01-01-2100,Sai Traders SSD Garment,8,,,0,FALSE
4385,4385,Fancy Nighty 2 Pc A90,485,400,350,190,350,26-05-2022,1,Pcs,,0,0,0,01-01-2100,Sai Traders,3,,,0,FALSE
4386,4386,Fancy Nighty B6,580,450,350,265,350,18-12-2022,6,Pcs,,0,0,0,01-01-2100,Sai Traders SSD Center,3,,,0,FALSE
4387,4387,Fancy Nighty B2,540,400,350,225,350,28-12-2022,3,Pcs,,0,0,0,01-01-2100,Sai Traders SSD Center,4,,,0,FALSE
4388,4388,Fancy Nighty 6 Pc D2,980,650,650,420,650,18-11-2022,1,Pcs,,0,0,0,01-01-2100,Sunder,4,,,0,FALSE
4389,4389,Fancy Nighty 6 Pc F50,1240,980,800,650,800,26-11-2022,0,Pcs,,0,0,0,01-01-2100,Sai Traders,3,,,0,FALSE
4390,4390,Fancy Nighty 4 Pc B50,580,450,450,250,450,24-11-2022,4,Pcs,,0,0,0,01-01-2100,Sai Traders,1,,,0,FALSE
4391,4391,Fancy Nighty 4 Pc E20,1100,900,900,520,900,03-03-2022,0,Pcs,,0,0,0,01-01-2100,Sai Traders,1,,,0,FALSE
4392,4392,Bloomer Plain Kunal 95,60,45,45,40,45,30-12-2021,1,Pcs,,0,0,0,01-01-2100,Geeta Ware House,0,,,0,FALSE
4393,4393,Bloomer Plain Kunal 100,60,45,45,40,45,28-12-2021,-22,Pcs,,0,0,0,01-01-2100,Geeta Ware House,0,,,0,FALSE
4394,4394,Printed Tube Top Long 1889,480,300,270,160,250,14-11-2022,2,Pcs,,0,0,0,01-01-2100,Bharat Hosiery,8,,,0,FALSE
4395,4395,Incare Printed Panty M - 120,120,105,100,76.56,100,12-09-2022,1,Pcs,6108,0,0,0,01-01-2100,Sunder Hosiery,2,,,0,FALSE
4396,4396,Incare Printed Panty L - 150,150,135,130,95.7,130,17-12-2022,4,Pcs,6108,0,0,0,01-01-2100,Sunder Hosiery,8,,,0,FALSE
4397,4397,Dipti C-cup bra 34,220,165,150,95,150,27-10-2022,5,Pcs,6212,0,0,1,01-01-2100,Sunder,1,,,0,FALSE
4398,4398,Dipti C-cup bra 36,220,165,150,95,150,21-10-2022,2,Pcs,6212,0,0,1,01-01-2100,Sunder,4,,,0,FALSE
4399,4399,Dipti C-cup bra 38,220,165,150,95,150,17-10-2022,4,Pcs,6212,0,0,1,01-01-2100,Sunder,2,,,0,FALSE
4400,4400,Dipti C-cup bra 40,220,165,150,95,150,02-12-2022,5,Pcs,6212,0,0,1,01-01-2100,Sunder,1,,,0,FALSE
4401,4401,Net BC Cup Bra 32,215,150,150,90,120,06-12-2022,11,Pcs,6212,0,0,0,01-01-2100,Sunder Hosiery,1,,,0,FALSE
